vector,score,level
"(1, 1, 1, 2, 4)",1.36,1
"(1, 1, 4, 1, 2)",1.36,1
"(2, 1, 1, 1, 4)",1.36,1
"(1, 4, 1, 2, 1)",1.36,1
"(1, 1, 1, 4, 2)",1.36,1
"(4, 1, 1, 2, 1)",1.36,1
"(1, 1, 4, 2, 1)",1.36,1
"(4, 1, 1, 1, 2)",1.36,1
"(1, 4, 2, 1, 1)",1.36,1
"(2, 4, 1, 1, 1)",1.36,1
"(1, 1, 2, 1, 4)",1.36,1
"(1, 2, 4, 1, 1)",1.36,1
"(2, 1, 1, 4, 1)",1.36,1
"(1, 2, 1, 4, 1)",1.36,1
"(1, 1, 2, 4, 1)",1.36,1
"(4, 1, 2, 1, 1)",1.36,1
"(4, 2, 1, 1, 1)",1.36,1
"(1, 4, 1, 1, 2)",1.36,1
"(3, 1, 1, 3, 1)",1.4,1
"(1, 3, 3, 1, 1)",1.4,1
"(3, 1, 1, 1, 3)",1.4,1
"(1, 3, 1, 1, 3)",1.4,1
"(1, 1, 3, 1, 3)",1.4,1
"(1, 1, 1, 3, 3)",1.4,1
"(3, 1, 3, 1, 1)",1.4,1
"(1, 3, 1, 3, 1)",1.4,1
"(3, 3, 1, 1, 1)",1.4,1
"(1, 1, 3, 3, 1)",1.4,1
"(2, 2, 1, 3, 1)",1.43,1
"(1, 2, 2, 1, 3)",1.43,1
"(3, 1, 2, 1, 2)",1.43,1
"(1, 2, 1, 3, 2)",1.43,1
"(1, 1, 2, 3, 2)",1.43,1
"(1, 1, 2, 2, 3)",1.43,1
"(2, 1, 2, 3, 1)",1.43,1
"(1, 2, 2, 3, 1)",1.43,1
"(1, 2, 1, 2, 3)",1.43,1
"(2, 3, 1, 2, 1)",1.43,1
"(2, 3, 2, 1, 1)",1.43,1
"(3, 1, 2, 2, 1)",1.43,1
"(2, 1, 3, 1, 2)",1.43,1
"(1, 3, 2, 1, 2)",1.43,1
"(2, 1, 1, 2, 3)",1.43,1
"(2, 1, 1, 3, 2)",1.43,1
"(1, 3, 2, 2, 1)",1.43,1
"(3, 2, 2, 1, 1)",1.43,1
"(1, 1, 3, 2, 2)",1.43,1
"(3, 1, 1, 2, 2)",1.43,1
"(2, 2, 1, 1, 3)",1.43,1
"(3, 2, 1, 2, 1)",1.43,1
"(1, 3, 1, 2, 2)",1.43,1
"(3, 2, 1, 1, 2)",1.43,1
"(2, 2, 3, 1, 1)",1.43,1
"(1, 2, 3, 2, 1)",1.43,1
"(2, 1, 2, 1, 3)",1.43,1
"(2, 1, 3, 2, 1)",1.43,1
"(1, 2, 3, 1, 2)",1.43,1
"(2, 3, 1, 1, 2)",1.43,1
"(2, 5, 1, 1, 1)",1.44,1
"(1, 1, 2, 5, 1)",1.44,1
"(1, 5, 1, 1, 2)",1.44,1
"(1, 1, 5, 1, 2)",1.44,1
"(1, 5, 1, 2, 1)",1.44,1
"(1, 1, 1, 5, 2)",1.44,1
"(1, 1, 2, 1, 5)",1.44,1
"(5, 1, 2, 1, 1)",1.44,1
"(1, 5, 2, 1, 1)",1.44,1
"(2, 1, 1, 5, 1)",1.44,1
"(2, 1, 5, 1, 1)",1.44,1
"(1, 2, 1, 1, 5)",1.44,1
"(5, 1, 1, 2, 1)",1.44,1
"(1, 1, 5, 2, 1)",1.44,1
"(1, 2, 5, 1, 1)",1.44,1
"(1, 2, 1, 5, 1)",1.44,1
"(5, 1, 1, 1, 2)",1.44,1
"(2, 1, 1, 1, 5)",1.44,1
"(5, 2, 1, 1, 1)",1.44,1
"(1, 1, 1, 2, 5)",1.44,1
"(4, 1, 1, 3, 1)",1.48,1
"(4, 1, 1, 1, 3)",1.48,1
"(3, 4, 1, 1, 1)",1.48,1
"(3, 1, 4, 1, 1)",1.48,1
"(1, 3, 4, 1, 1)",1.48,1
"(1, 1, 1, 4, 3)",1.48,1
"(1, 4, 1, 1, 3)",1.48,1
"(3, 1, 1, 4, 1)",1.48,1
"(1, 1, 4, 3, 1)",1.48,1
"(4, 3, 1, 1, 1)",1.48,1
"(1, 3, 1, 1, 4)",1.48,1
"(1, 1, 3, 4, 1)",1.48,1
"(1, 4, 3, 1, 1)",1.48,1
"(1, 1, 4, 1, 3)",1.48,1
"(1, 4, 1, 3, 1)",1.48,1
"(1, 3, 1, 4, 1)",1.48,1
"(4, 1, 3, 1, 1)",1.48,1
"(1, 1, 3, 1, 4)",1.48,1
"(1, 1, 1, 3, 4)",1.48,1
"(3, 1, 1, 1, 4)",1.48,1
"(1, 4, 2, 1, 2)",1.51,1
"(2, 4, 1, 1, 2)",1.51,1
"(1, 4, 2, 2, 1)",1.51,1
"(2, 1, 4, 1, 2)",1.51,1
"(4, 1, 2, 1, 2)",1.51,1
"(1, 1, 4, 2, 2)",1.51,1
"(2, 1, 4, 2, 1)",1.51,1
"(2, 4, 1, 2, 1)",1.51,1
"(2, 2, 1, 1, 4)",1.51,1
"(2, 2, 1, 4, 1)",1.51,1
"(1, 2, 4, 1, 2)",1.51,1
"(2, 2, 4, 1, 1)",1.51,1
"(2, 4, 2, 1, 1)",1.51,1
"(2, 1, 1, 2, 4)",1.51,1
"(1, 1, 2, 4, 2)",1.51,1
"(4, 1, 2, 2, 1)",1.51,1
"(1, 2, 1, 4, 2)",1.51,1
"(1, 2, 2, 1, 4)",1.51,1
"(2, 1, 2, 1, 4)",1.51,1
"(1, 2, 1, 2, 4)",1.51,1
"(4, 2, 1, 1, 2)",1.51,1
"(1, 4, 1, 2, 2)",1.51,1
"(2, 1, 2, 4, 1)",1.51,1
"(4, 2, 1, 2, 1)",1.51,1
"(1, 1, 2, 2, 4)",1.51,1
"(1, 2, 2, 4, 1)",1.51,1
"(2, 1, 1, 4, 2)",1.51,1
"(4, 2, 2, 1, 1)",1.51,1
"(1, 2, 4, 2, 1)",1.51,1
"(4, 1, 1, 2, 2)",1.51,1
"(2, 3, 3, 1, 1)",1.55,1
"(1, 3, 1, 2, 3)",1.55,1
"(2, 3, 1, 1, 3)",1.55,1
"(1, 3, 1, 3, 2)",1.55,1
"(3, 2, 1, 3, 1)",1.55,1
"(3, 1, 3, 2, 1)",1.55,1
"(3, 1, 1, 2, 3)",1.55,1
"(3, 1, 3, 1, 2)",1.55,1
"(3, 2, 1, 1, 3)",1.55,1
"(1, 3, 3, 2, 1)",1.55,1
"(3, 1, 2, 3, 1)",1.55,1
"(3, 1, 1, 3, 2)",1.55,1
"(2, 3, 1, 3, 1)",1.55,1
"(1, 3, 3, 1, 2)",1.55,1
"(1, 3, 2, 3, 1)",1.55,1
"(3, 1, 2, 1, 3)",1.55,1
"(3, 2, 3, 1, 1)",1.55,1
"(1, 1, 3, 2, 3)",1.55,1
"(1, 1, 3, 3, 2)",1.55,1
"(1, 1, 2, 3, 3)",1.55,1
"(1, 2, 1, 3, 3)",1.55,1
"(1, 3, 2, 1, 3)",1.55,1
"(2, 1, 3, 1, 3)",1.55,1
"(1, 2, 3, 1, 3)",1.55,1
"(2, 1, 3, 3, 1)",1.55,1
"(1, 2, 3, 3, 1)",1.55,1
"(2, 1, 1, 3, 3)",1.55,1
"(3, 3, 1, 2, 1)",1.55,1
"(3, 3, 2, 1, 1)",1.55,1
"(3, 3, 1, 1, 2)",1.55,1
"(1, 1, 3, 5, 1)",1.56,1
"(1, 3, 1, 1, 5)",1.56,1
"(1, 1, 1, 5, 3)",1.56,1
"(5, 3, 1, 1, 1)",1.56,1
"(1, 5, 3, 1, 1)",1.56,1
"(1, 1, 5, 1, 3)",1.56,1
"(3, 1, 1, 5, 1)",1.56,1
"(5, 1, 1, 3, 1)",1.56,1
"(1, 1, 5, 3, 1)",1.56,1
"(1, 5, 1, 3, 1)",1.56,1
"(1, 3, 5, 1, 1)",1.56,1
"(5, 1, 1, 1, 3)",1.56,1
"(3, 5, 1, 1, 1)",1.56,1
"(1, 1, 3, 1, 5)",1.56,1
"(3, 1, 5, 1, 1)",1.56,1
"(3, 1, 1, 1, 5)",1.56,1
"(5, 1, 3, 1, 1)",1.56,1
"(1, 5, 1, 1, 3)",1.56,1
"(1, 1, 1, 3, 5)",1.56,1
"(1, 3, 1, 5, 1)",1.56,1
"(2, 5, 2, 1, 1)",1.59,1
"(1, 1, 2, 5, 2)",1.59,1
"(5, 1, 2, 2, 1)",1.59,1
"(1, 5, 1, 2, 2)",1.59,1
"(2, 5, 1, 1, 2)",1.59,1
"(1, 5, 2, 1, 2)",1.59,1
"(2, 2, 1, 5, 1)",1.59,1
"(5, 1, 2, 1, 2)",1.59,1
"(2, 2, 1, 1, 5)",1.59,1
"(2, 5, 1, 2, 1)",1.59,1
"(1, 5, 2, 2, 1)",1.59,1
"(5, 2, 2, 1, 1)",1.59,1
"(5, 2, 1, 1, 2)",1.59,1
"(2, 2, 5, 1, 1)",1.59,1
"(2, 1, 5, 2, 1)",1.59,1
"(1, 2, 2, 5, 1)",1.59,1
"(1, 2, 5, 1, 2)",1.59,1
"(2, 1, 2, 5, 1)",1.59,1
"(1, 2, 5, 2, 1)",1.59,1
"(2, 1, 2, 1, 5)",1.59,1
"(1, 2, 2, 1, 5)",1.59,1
"(5, 1, 1, 2, 2)",1.59,1
"(1, 2, 1, 5, 2)",1.59,1
"(1, 1, 2, 2, 5)",1.59,1
"(2, 1, 1, 5, 2)",1.59,1
"(1, 1, 5, 2, 2)",1.59,1
"(2, 1, 1, 2, 5)",1.59,1
"(2, 1, 5, 1, 2)",1.59,1
"(5, 2, 1, 2, 1)",1.59,1
"(1, 2, 1, 2, 5)",1.59,1
"(1, 4, 1, 1, 4)",1.6,1
"(1, 4, 1, 4, 1)",1.6,1
"(2, 2, 2, 1, 2)",1.6,1
"(2, 2, 1, 2, 2)",1.6,1
"(2, 2, 2, 2, 1)",1.6,1
"(2, 1, 2, 2, 2)",1.6,1
"(1, 4, 4, 1, 1)",1.6,1
"(4, 4, 1, 1, 1)",1.6,1
"(4, 1, 4, 1, 1)",1.6,1
"(1, 2, 2, 2, 2)",1.6,1
"(4, 1, 1, 4, 1)",1.6,1
"(1, 1, 4, 1, 4)",1.6,1
"(4, 1, 1, 1, 4)",1.6,1
"(1, 1, 4, 4, 1)",1.6,1
"(1, 1, 1, 4, 4)",1.6,1
"(4, 1, 2, 3, 1)",1.63,1
"(4, 1, 2, 1, 3)",1.63,1
"(4, 1, 1, 3, 2)",1.63,1
"(4, 1, 1, 2, 3)",1.63,1
"(2, 1, 3, 1, 4)",1.63,1
"(1, 3, 2, 1, 4)",1.63,1
"(1, 2, 1, 4, 3)",1.63,1
"(2, 1, 4, 1, 3)",1.63,1
"(3, 4, 2, 1, 1)",1.63,1
"(2, 1, 4, 3, 1)",1.63,1
"(3, 4, 1, 2, 1)",1.63,1
"(3, 4, 1, 1, 2)",1.63,1
"(1, 2, 3, 4, 1)",1.63,1
"(3, 2, 4, 1, 1)",1.63,1
"(1, 2, 4, 1, 3)",1.63,1
"(1, 3, 4, 2, 1)",1.63,1
"(2, 1, 3, 4, 1)",1.63,1
"(1, 2, 1, 3, 4)",1.63,1
"(4, 1, 3, 2, 1)",1.63,1
"(3, 2, 1, 4, 1)",1.63,1
"(1, 4, 3, 2, 1)",1.63,1
"(1, 1, 2, 3, 4)",1.63,1
"(1, 4, 3, 1, 2)",1.63,1
"(1, 1, 3, 2, 4)",1.63,1
"(1, 1, 3, 4, 2)",1.63,1
"(1, 4, 2, 3, 1)",1.63,1
"(1, 1, 4, 2, 3)",1.63,1
"(1, 1, 4, 3, 2)",1.63,1
"(1, 4, 2, 1, 3)",1.63,1
"(4, 3, 2, 1, 1)",1.63,1
"(2, 1, 1, 3, 4)",1.63,1
"(4, 3, 1, 2, 1)",1.63,1
"(4, 3, 1, 1, 2)",1.63,1
"(2, 1, 1, 4, 3)",1.63,1
"(4, 2, 3, 1, 1)",1.63,1
"(1, 4, 1, 3, 2)",1.63,1
"(4, 2, 1, 3, 1)",1.63,1
"(1, 4, 1, 2, 3)",1.63,1
"(4, 2, 1, 1, 3)",1.63,1
"(4, 1, 3, 1, 2)",1.63,1
"(1, 2, 4, 3, 1)",1.63,1
"(1, 2, 3, 1, 4)",1.63,1
"(1, 3, 4, 1, 2)",1.63,1
"(1, 3, 1, 4, 2)",1.63,1
"(3, 1, 1, 2, 4)",1.63,1
"(1, 3, 1, 2, 4)",1.63,1
"(2, 4, 3, 1, 1)",1.63,1
"(1, 3, 2, 4, 1)",1.63,1
"(2, 4, 1, 3, 1)",1.63,1
"(2, 4, 1, 1, 3)",1.63,1
"(2, 3, 4, 1, 1)",1.63,1
"(3, 1, 1, 4, 2)",1.63,1
"(3, 1, 2, 1, 4)",1.63,1
"(2, 3, 1, 4, 1)",1.63,1
"(3, 1, 2, 4, 1)",1.63,1
"(2, 3, 1, 1, 4)",1.63,1
"(3, 1, 4, 1, 2)",1.63,1
"(3, 1, 4, 2, 1)",1.63,1
"(1, 1, 2, 4, 3)",1.63,1
"(3, 2, 1, 1, 4)",1.63,1
"(2, 2, 3, 1, 2)",1.68,1
"(1, 4, 1, 1, 5)",1.68,1
"(4, 1, 5, 1, 1)",1.68,1
"(3, 2, 1, 2, 2)",1.68,1
"(2, 2, 2, 3, 1)",1.68,1
"(1, 1, 5, 4, 1)",1.68,1
"(3, 2, 2, 2, 1)",1.68,1
"(5, 1, 4, 1, 1)",1.68,1
"(2, 2, 1, 2, 3)",1.68,1
"(1, 4, 1, 5, 1)",1.68,1
"(1, 1, 5, 1, 4)",1.68,1
"(3, 2, 2, 1, 2)",1.68,1
"(1, 1, 4, 5, 1)",1.68,1
"(1, 1, 1, 5, 4)",1.68,1
"(4, 5, 1, 1, 1)",1.68,1
"(2, 2, 1, 3, 2)",1.68,1
"(2, 2, 2, 1, 3)",1.68,1
"(1, 1, 4, 1, 5)",1.68,1
"(5, 1, 1, 1, 4)",1.68,1
"(1, 5, 4, 1, 1)",1.68,1
"(5, 1, 1, 4, 1)",1.68,1
"(1, 5, 1, 4, 1)",1.68,1
"(1, 3, 2, 2, 2)",1.68,1
"(1, 1, 1, 4, 5)",1.68,1
"(1, 5, 1, 1, 4)",1.68,1
"(2, 3, 2, 1, 2)",1.68,1
"(3, 1, 2, 2, 2)",1.68,1
"(2, 3, 2, 2, 1)",1.68,1
"(1, 2, 3, 2, 2)",1.68,1
"(2, 1, 2, 3, 2)",1.68,1
"(1, 2, 2, 3, 2)",1.68,1
"(2, 1, 2, 2, 3)",1.68,1
"(2, 2, 3, 2, 1)",1.68,1
"(4, 1, 1, 1, 5)",1.68,1
"(1, 4, 5, 1, 1)",1.68,1
"(2, 3, 1, 2, 2)",1.68,1
"(1, 2, 2, 2, 3)",1.68,1
"(5, 4, 1, 1, 1)",1.68,1
"(2, 1, 3, 2, 2)",1.68,1
"(4, 1, 1, 5, 1)",1.68,1
"(3, 1, 3, 3, 1)",1.7,1
"(1, 3, 1, 3, 3)",1.7,1
"(3, 3, 3, 1, 1)",1.7,1
"(1, 1, 3, 3, 3)",1.7,1
"(1, 3, 3, 3, 1)",1.7,1
"(3, 3, 1, 1, 3)",1.7,1
"(1, 3, 3, 1, 3)",1.7,1
"(3, 3, 1, 3, 1)",1.7,1
"(3, 1, 1, 3, 3)",1.7,1
"(3, 1, 3, 1, 3)",1.7,1
"(2, 5, 1, 3, 1)",1.71,1
"(5, 1, 3, 1, 2)",1.71,1
"(1, 5, 3, 1, 2)",1.71,1
"(5, 1, 1, 2, 3)",1.71,1
"(1, 5, 2, 3, 1)",1.71,1
"(5, 1, 1, 3, 2)",1.71,1
"(1, 5, 2, 1, 3)",1.71,1
"(3, 1, 5, 1, 2)",1.71,1
"(3, 2, 1, 1, 5)",1.71,1
"(3, 1, 5, 2, 1)",1.71,1
"(5, 1, 2, 3, 1)",1.71,1
"(5, 1, 2, 1, 3)",1.71,1
"(2, 5, 3, 1, 1)",1.71,1
"(1, 5, 1, 3, 2)",1.71,1
"(5, 1, 3, 2, 1)",1.71,1
"(1, 5, 3, 2, 1)",1.71,1
"(1, 5, 1, 2, 3)",1.71,1
"(3, 5, 1, 2, 1)",1.71,1
"(2, 5, 1, 1, 3)",1.71,1
"(3, 1, 2, 1, 5)",1.71,1
"(3, 2, 5, 1, 1)",1.71,1
"(3, 1, 1, 5, 2)",1.71,1
"(2, 1, 1, 5, 3)",1.71,1
"(2, 3, 5, 1, 1)",1.71,1
"(5, 3, 2, 1, 1)",1.71,1
"(2, 1, 5, 1, 3)",1.71,1
"(2, 1, 1, 3, 5)",1.71,1
"(2, 3, 1, 1, 5)",1.71,1
"(3, 5, 1, 1, 2)",1.71,1
"(5, 3, 1, 2, 1)",1.71,1
"(5, 3, 1, 1, 2)",1.71,1
"(5, 2, 3, 1, 1)",1.71,1
"(2, 1, 3, 1, 5)",1.71,1
"(5, 2, 1, 3, 1)",1.71,1
"(2, 3, 1, 5, 1)",1.71,1
"(5, 2, 1, 1, 3)",1.71,1
"(3, 2, 1, 5, 1)",1.71,1
"(2, 1, 5, 3, 1)",1.71,1
"(2, 1, 3, 5, 1)",1.71,1
"(3, 5, 2, 1, 1)",1.71,1
"(3, 1, 1, 2, 5)",1.71,1
"(3, 1, 2, 5, 1)",1.71,1
"(1, 2, 3, 5, 1)",1.71,1
"(1, 2, 5, 3, 1)",1.71,1
"(1, 2, 1, 5, 3)",1.71,1
"(1, 1, 5, 2, 3)",1.71,1
"(1, 3, 5, 1, 2)",1.71,1
"(1, 3, 1, 5, 2)",1.71,1
"(1, 2, 1, 3, 5)",1.71,1
"(1, 3, 2, 5, 1)",1.71,1
"(1, 1, 3, 5, 2)",1.71,1
"(1, 1, 2, 5, 3)",1.71,1
"(1, 3, 5, 2, 1)",1.71,1
"(1, 1, 5, 3, 2)",1.71,1
"(1, 1, 2, 3, 5)",1.71,1
"(1, 1, 3, 2, 5)",1.71,1
"(1, 3, 1, 2, 5)",1.71,1
"(1, 2, 5, 1, 3)",1.71,1
"(1, 2, 3, 1, 5)",1.71,1
"(1, 3, 2, 1, 5)",1.71,1
"(2, 1, 4, 1, 4)",1.75,1
"(4, 1, 4, 1, 2)",1.75,1
"(1, 4, 2, 1, 4)",1.75,1
"(2, 1, 4, 4, 1)",1.75,1
"(4, 1, 2, 1, 4)",1.75,1
"(1, 2, 4, 4, 1)",1.75,1
"(2, 1, 1, 4, 4)",1.75,1
"(1, 4, 1, 2, 4)",1.75,1
"(4, 2, 4, 1, 1)",1.75,1
"(1, 2, 4, 1, 4)",1.75,1
"(1, 4, 1, 4, 2)",1.75,1
"(1, 1, 2, 4, 4)",1.75,1
"(4, 4, 1, 1, 2)",1.75,1
"(2, 4, 1, 1, 4)",1.75,1
"(4, 1, 1, 2, 4)",1.75,1
"(1, 4, 4, 1, 2)",1.75,1
"(1, 2, 1, 4, 4)",1.75,1
"(4, 2, 1, 4, 1)",1.75,1
"(1, 4, 4, 2, 1)",1.75,1
"(1, 4, 2, 4, 1)",1.75,1
"(4, 4, 1, 2, 1)",1.75,1
"(4, 1, 2, 4, 1)",1.75,1
"(2, 4, 1, 4, 1)",1.75,1
"(4, 1, 1, 4, 2)",1.75,1
"(1, 1, 4, 2, 4)",1.75,1
"(1, 1, 4, 4, 2)",1.75,1
"(2, 4, 4, 1, 1)",1.75,1
"(4, 4, 2, 1, 1)",1.75,1
"(4, 1, 4, 2, 1)",1.75,1
"(4, 2, 1, 1, 4)",1.75,1
"(2, 4, 2, 1, 2)",1.76,1
"(2, 1, 2, 4, 2)",1.76,1
"(2, 1, 2, 2, 4)",1.76,1
"(2, 4, 1, 2, 2)",1.76,1
"(1, 4, 2, 2, 2)",1.76,1
"(1, 2, 4, 2, 2)",1.76,1
"(1, 2, 2, 2, 4)",1.76,1
"(2, 4, 2, 2, 1)",1.76,1
"(2, 2, 4, 1, 2)",1.76,1
"(4, 2, 2, 1, 2)",1.76,1
"(4, 2, 2, 2, 1)",1.76,1
"(2, 2, 4, 2, 1)",1.76,1
"(2, 1, 4, 2, 2)",1.76,1
"(2, 2, 2, 4, 1)",1.76,1
"(4, 2, 1, 2, 2)",1.76,1
"(2, 2, 2, 1, 4)",1.76,1
"(4, 1, 2, 2, 2)",1.76,1
"(1, 2, 2, 4, 2)",1.76,1
"(2, 2, 1, 2, 4)",1.76,1
"(2, 2, 1, 4, 2)",1.76,1
"(3, 1, 3, 4, 1)",1.78,1
"(4, 1, 3, 1, 3)",1.78,1
"(3, 3, 4, 1, 1)",1.78,1
"(3, 4, 1, 1, 3)",1.78,1
"(4, 3, 1, 3, 1)",1.78,1
"(1, 1, 3, 4, 3)",1.78,1
"(3, 1, 4, 3, 1)",1.78,1
"(1, 3, 1, 3, 4)",1.78,1
"(3, 3, 1, 4, 1)",1.78,1
"(1, 3, 1, 4, 3)",1.78,1
"(4, 3, 1, 1, 3)",1.78,1
"(3, 1, 3, 1, 4)",1.78,1
"(4, 3, 3, 1, 1)",1.78,1
"(1, 3, 3, 4, 1)",1.78,1
"(3, 1, 4, 1, 3)",1.78,1
"(1, 4, 3, 3, 1)",1.78,1
"(3, 1, 1, 4, 3)",1.78,1
"(1, 3, 3, 1, 4)",1.78,1
"(1, 4, 3, 1, 3)",1.78,1
"(4, 1, 3, 3, 1)",1.78,1
"(3, 4, 1, 3, 1)",1.78,1
"(1, 3, 4, 3, 1)",1.78,1
"(1, 4, 1, 3, 3)",1.78,1
"(3, 4, 3, 1, 1)",1.78,1
"(1, 1, 3, 3, 4)",1.78,1
"(1, 3, 4, 1, 3)",1.78,1
"(1, 1, 4, 3, 3)",1.78,1
"(3, 1, 1, 3, 4)",1.78,1
"(3, 3, 1, 1, 4)",1.78,1
"(4, 1, 1, 3, 3)",1.78,1
"(1, 1, 5, 1, 5)",1.8,1
"(5, 1, 1, 5, 1)",1.8,1
"(1, 2, 2, 3, 3)",1.8,1
"(2, 3, 1, 3, 2)",1.8,1
"(2, 2, 3, 3, 1)",1.8,1
"(2, 3, 1, 2, 3)",1.8,1
"(3, 2, 2, 1, 3)",1.8,1
"(1, 3, 3, 2, 2)",1.8,1
"(3, 2, 2, 3, 1)",1.8,1
"(2, 3, 2, 1, 3)",1.8,1
"(2, 3, 2, 3, 1)",1.8,1
"(2, 1, 3, 2, 3)",1.8,1
"(2, 1, 3, 3, 2)",1.8,1
"(3, 2, 1, 3, 2)",1.8,1
"(3, 3, 2, 1, 2)",1.8,1
"(3, 2, 1, 2, 3)",1.8,1
"(3, 3, 1, 2, 2)",1.8,1
"(2, 3, 3, 1, 2)",1.8,1
"(2, 3, 3, 2, 1)",1.8,1
"(3, 2, 3, 1, 2)",1.8,1
"(3, 2, 3, 2, 1)",1.8,1
"(5, 1, 5, 1, 1)",1.8,1
"(5, 1, 1, 1, 5)",1.8,1
"(3, 3, 2, 2, 1)",1.8,1
"(2, 2, 3, 1, 3)",1.8,1
"(2, 1, 2, 3, 3)",1.8,1
"(1, 5, 5, 1, 1)",1.8,1
"(2, 2, 1, 3, 3)",1.8,1
"(5, 5, 1, 1, 1)",1.8,1
"(1, 3, 2, 2, 3)",1.8,1
"(1, 2, 3, 3, 2)",1.8,1
"(1, 2, 3, 2, 3)",1.8,1
"(1, 1, 1, 5, 5)",1.8,1
"(3, 1, 2, 3, 2)",1.8,1
"(1, 5, 1, 1, 5)",1.8,1
"(1, 5, 1, 5, 1)",1.8,1
"(1, 3, 2, 3, 2)",1.8,1
"(1, 1, 5, 5, 1)",1.8,1
"(3, 1, 3, 2, 2)",1.8,1
"(3, 1, 2, 2, 3)",1.8,1
"(1, 2, 1, 5, 4)",1.83,1
"(5, 4, 1, 1, 2)",1.83,1
"(1, 4, 1, 5, 2)",1.83,1
"(4, 1, 1, 5, 2)",1.83,1
"(2, 5, 1, 4, 1)",1.83,1
"(5, 1, 1, 2, 4)",1.83,1
"(2, 4, 5, 1, 1)",1.83,1
"(5, 2, 1, 1, 4)",1.83,1
"(4, 5, 1, 2, 1)",1.83,1
"(4, 1, 2, 1, 5)",1.83,1
"(5, 4, 2, 1, 1)",1.83,1
"(2, 1, 4, 1, 5)",1.83,1
"(1, 4, 1, 2, 5)",1.83,1
"(5, 1, 2, 4, 1)",1.83,1
"(5, 4, 1, 2, 1)",1.83,1
"(1, 5, 1, 4, 2)",1.83,1
"(1, 1, 5, 2, 4)",1.83,1
"(1, 1, 4, 2, 5)",1.83,1
"(2, 1, 1, 4, 5)",1.83,1
"(1, 5, 2, 1, 4)",1.83,1
"(1, 4, 2, 5, 1)",1.83,1
"(1, 4, 2, 1, 5)",1.83,1
"(1, 4, 5, 2, 1)",1.83,1
"(1, 4, 5, 1, 2)",1.83,1
"(5, 2, 4, 1, 1)",1.83,1
"(4, 5, 1, 1, 2)",1.83,1
"(1, 2, 4, 5, 1)",1.83,1
"(2, 1, 4, 5, 1)",1.83,1
"(4, 5, 2, 1, 1)",1.83,1
"(1, 1, 2, 4, 5)",1.83,1
"(2, 4, 1, 5, 1)",1.83,1
"(1, 1, 2, 5, 4)",1.83,1
